restaurant_name,yelp_price,yelp_rating,yelp_reviews,zomato_price,zomato_rating,zomato_reviews,average_price,average_rating
Grimaldi's Pizzeria,2.0,3.5,4601,3.0,4.6,206,2.5,4.05
The Halal Guys,1.0,4.0,9439,2.0,4.9,201,1.5,4.45
Scarpetta,3.0,4.0,1904,4.0,4.2,43,3.5,4.1
Beauty & Essex,3.0,4.0,3495,4.0,4.3,63,3.5,4.15
Minetta Tavern,3.0,4.0,2187,4.0,4.3,71,3.5,4.15
Sushi Yasuda,3.0,4.0,2120,4.0,4.1,52,3.5,4.05
Marea,3.0,4.0,2034,4.0,4.2,73,3.5,4.1
Carmine's Italian Restaurant - Times Square,2.0,4.0,3781,4.0,4.7,161,3.0,4.35
Joe's Shanghai,2.0,4.0,6157,2.0,4.5,93,2.0,4.25
Shake Shack,2.0,4.0,5577,2.0,4.9,115,2.0,4.45
Clinton Street Baking Company,2.0,4.0,5063,4.0,4.4,99,3.0,4.2
Katz's Delicatessen,2.0,4.0,12207,2.0,4.9,538,2.0,4.45
Mamoun's Falafel,1.0,4.0,2383,2.0,4.6,45,1.5,4.3
Roberta's,2.0,4.0,2836,3.0,4.8,71,2.5,4.4
Jean-Georges,4.0,4.5,1880,4.0,4.4,89,4.0,4.45
Del Frisco's Double Eagle Steakhouse,4.0,4.5,2977,4.0,4.5,54,4.0,4.5
Gramercy Tavern,4.0,4.5,2891,4.0,4.5,121,4.0,4.5
Daniel,4.0,4.5,1586,4.0,4.3,82,4.0,4.4
