restaurant_id,restaurant_name,address,lat,long,rating,price,category,review_count
cQxtisUT6TgEGSN7gpnTDg,Good Enough to Eat,520 Columbus Ave,40.7859436042416,-73.9727859590175,3.5,$$,Breakfast & Brunch,1424
_3QRn51W3IoqBzc9fYet4Q,Grazie,26 E 84th St,40.77948,-73.9601,4.0,$$,Italian,455
7gZGVdqMch7ls0IGO3DijQ,Agora Turkish Restaurant,1565 2nd Ave,40.77492,-73.95412,4.5,$$,Turkish,549
PnGSE8JGbMZKtdHi9go7Kg,The Milling Room,446 Columbus Ave,40.7835485472543,-73.9744088718635,4.0,$$$,American (New),470
DpZBA0-f7Um9lvnp1zZM2A,Earl's Beer & Cheese,1259 Park Ave,40.78729,-73.95152,4.5,$$,Bars,598
q2D80--iDkSwf_OKsS-jdA,La Pulperia UES,1626 2nd Ave,40.7766202,-73.9523275,4.0,$$,Latin American,734
xTWpl9DgIkkr5B8h8_xUpA,Lokal 83 Mediterranean Kitchen,473 Columbus Ave,40.7842696,-73.9734941,4.5,$$,Mediterranean,303
_NS1hEZ0LPwaTG4R6jxgnw,Cafe Sabarsky,1048 5th Ave,40.7813294606411,-73.9603686332703,4.0,$$,German,497
7CM15wd5d8WC_pHR674YXA,Hummus Kitchen,1613 2nd Ave,40.7763650431587,-73.9529693360589,4.0,$$,Mediterranean,839
N9OihQ22xLyfeDRSZoDCVQ,Beyoglu,1431 3rd Ave,40.7754199,-73.9562399,4.0,$$,Turkish,1142
mWS4umRg2AyykyAClMrIRw,The Penrose,1590 2nd Ave,40.775427,-73.953115,4.0,$$,Gastropubs,1178
7gbWC5D0y0ZTUF-WDLwuYw,Bluestone Lane,1085 5th Ave,40.7837603758071,-73.9585503779793,4.0,$$,Coffee & Tea,504
5S8ZK9XLdl4l645twbNYZQ,Boqueria UES,1460 2nd Ave,40.77149,-73.95602,4.0,$$$,Tapas/Small Plates,727
x5HLJVEOYF-cCmGEZFu9yA,The Candle Cafe,1307 3rd Ave,40.771434,-73.959146,4.0,$$,Vegan,911
2f0EWTvp3YDtGNKEEXKKhA,Naruto Ramen,1596 3rd Ave,40.78117,-73.9525,3.5,$$,Ramen,932
W5RSIwNKBa7k0jeAs5KDYg,Mei Jin Ramen,1574 2nd Ave,40.775049,-73.953553,4.0,$$,Ramen,706
cSRzfprFfAnT1nAcQMgrDA,Fred's Restaurant,476 Amsterdam Ave,40.7856233,-73.9767067,4.0,$$,Breakfast & Brunch,762
rJJiGJx3kfMAxtD7P7okHQ,Celeste,502 Amsterdam Ave,40.78666,-73.97599,3.5,$$,Italian,894
bb4TLfMexv3XPy864A09ug,H&H Bagels,1551 2nd Ave,40.77444,-73.95447,4.0,$,Bagels,785
H9GD7km7riFooM0FkdwOPg,Calle Ocho,2756 Broadway,40.801264,-73.967663,4.0,$$,Cuban,2504
UJe9_p6NEl0kA6xHVo5PKw,Amelie,566 Amsterdam Ave,40.78875,-73.97464,4.5,$$$,French,195
6tGW6KMFB1rLGInE6sB3KA,Kaia Wine Bar,1614 3rd Ave,40.7819,-73.95197,4.0,$$,South African,419
1p4dUaLyzIhN5n1lJnHSgA,Bustan,487 Amsterdam Ave,40.7859082,-73.9759551,4.0,$$,Mediterranean,503
GXh9YpX4v8Wemrq-SPDPhA,e's BAR,511 Amsterdam Ave,40.786692073145,-73.9755653589964,4.0,$$,Bars,348
PJeuLlvja4ZKv_tHq_pE1A,Heidelberg Restaurant,1648 2nd Ave,40.77742,-73.95172,4.0,$$,German,683
15svH3HiVDwHMSIlRYpk6A,Ashoka Indian Restaurant,489 Columbus Ave,40.78477,-73.973027,4.5,$$,Indian,239
sKIYGvENchifk1YwFe77pA,Saiguette,935 Columbus Ave,40.79902,-73.96281,4.5,$$,Vietnamese,614
Bt6RoIcazXayp1a8lMSvzA,Shalel Kitchen,65 W 70th St,40.7760977,-73.9793291,4.0,$$,Lounges,609
rp_TaJRjaNmOCb8vJ2S_sw,Blossom on Columbus,507 Columbus Ave,40.7853146,-73.9728638,4.0,$$,Vegan,376
DCiEo7qucPaEj7Gtdj1U9A,Sant Ambroeus,1000 Madison Ave,40.77541,-73.96297,4.0,$$$,Italian,389
3004g82RXwKoqaenSqBVEg,George Keeley,485 Amsterdam Ave,40.78583,-73.97597,4.0,$$,American (Traditional),321
77EedCTJY1biWIYSzAulCQ,J.G. Melon,1291 3rd Ave,40.77105,-73.95931,3.5,$$,American (Traditional),1275
OiSjFh06dsNonI0cPXMSOw,Bondurants,303 E 85th St,40.777292,-73.951854,4.0,$$,Cocktail Bars,468
zGtR4FNGDD1EjdxIzKF-HA,Pio Pio 6,702 Amsterdam Ave,40.793007,-73.971535,3.5,$$,Latin American,742
6KcS6hc2j4kJi2XTGxC1eg,Bodrum Mediterranean Restaurant,584 Amsterdam Ave,40.78935,-73.97411,4.0,$$,Mediterranean,388
1raNn0l3I4H9PcAJce69Sw,Sojourn,244 E 79th St,40.77343,-73.95568,4.0,$$,American (New),631
nF-EOBd_H1fX50iT1EIVZA,Pil Pil,265 E 78th St,40.7728412,-73.9558687,4.0,$$,Tapas Bars,590
ojbH3wnRu050hRhkmoxRiA,Han Dynasty,215 W 85th St,40.78752,-73.97647,4.0,$$,Szechuan,597
FLRx5tOBMMDJHEUYAAfa8A,Caledonia Bar,1609 2nd Ave,40.776327,-73.953213,4.5,$$,Pubs,253
bHGETjP_InKy0sIVHFgHyw,Sushi Of Gari,402 E 78th St,40.77137,-73.95275,4.0,$$$$,Sushi Bars,613
kn9rgR4KlvyTTi-s76OIaQ,Toloache 82nd,166 E 82nd St,40.77648,-73.95669,4.0,$$$,Mexican,414
Kq6WMwG2kYrYpFF62TiY3A,Cafe Noi,1465 2nd Ave,40.77168,-73.95649,4.0,$$,Coffee & Tea,396
bkIMbvXOcztDVz8bpyhMzQ,The Dead Poet,450 Amsterdam Ave,40.78499,-73.97735,4.0,$$,Bars,427
vJpfMVBybyEF8p_qXWs0ug,Sarabeth's West,423 Amsterdam Ave,40.78388,-73.97743,3.5,$$,Breakfast & Brunch,919
kLJfizeHMQqesp1K9mfUtg,Via Quadronno,25 E 73rd St,40.77277,-73.96514,4.0,$$,Sandwiches,523
oRYcCwhPRchQb-aLJ1Pv1Q,Sarabeth's East,1295 Madison Ave,40.78481,-73.95575,3.5,$$,American (Traditional),650
puzIKznQzDoq3soyFGFlEg,Papaya King,179 E 86th St,40.7790883777847,-73.954070420747,3.5,$,Hot Dogs,566
HUY6yj38FXqAQvWUdgL0xA,Sirenetta,568 Amsterdam Ave,40.78881,-73.97459,4.0,$$,Pizza,294
7bD22UAtH56ikWYslOSIQg,Calexico - Upper East Side,1491 2nd Ave,40.77259,-73.95588,4.0,$$,Salad,680
3vBVnzsJLRh8WtW3awKxeQ,Bodega 88,573 Columbus Ave,40.7875358759796,-73.9711353555322,4.5,$$,Sports Bars,165
1NDrUD3rct843ekECS9Dkw,Cafe Lalo,201 W 83rd St,40.7859,-73.9766,3.0,$$,Desserts,1364
E5rmVdrCn-0uwD2M9nkXdw,Da Capo,1392 Madison Ave,40.7877696714384,-73.9538384601474,4.5,$$,Wine Bars,196
0sXTHdwbJ_TEZq2WNjmGXw,Irving Farm New York,224 W 79th St,40.78334,-73.97952,4.0,$$,Coffee & Tea,569
BEYmqrP1_TC0nhnTGKkkJg,Ella Social,249 Columbus Ave,40.7769826,-73.9788067,4.0,$$,Tapas/Small Plates,499
Okbtt-ISFB3kuoxkl2wVgg,The Simone,151 E 82nd St,40.77682,-73.95698,5.0,$$$$,French,92
9BzRiWO6PSdR-l3dzCm3VA,Buceo 95,201 W 95th St,40.793571,-73.971058,4.0,$$$,Tapas Bars,432
yaBrQbt7kMrbXAo6qrzpYw,By the Way Bakery,2442 Broadway,40.7910023,-73.9742942,4.5,$,Bakeries,226
iHwhkW0LLlu81ZCir-lFQA,Gari Columbus,370 Columbus Ave,40.78112,-73.97632,4.0,$$$$,Sushi Bars,329
fPa-Ai7WucnRd6OcZYHSyg,Prohibition,503 Columbus Ave,40.78526,-73.97284,3.5,$$,Bars,387
wSGZA3DOFSUvALZRKCM_Sw,Tanoshi Sushi Sake Bar,1372 York Ave,40.767568,-73.952815,4.5,$$$$,Sushi Bars,639
AtUxlW7ltZb73ZXMwpkY_g,Sashimi Ramen Express,341 E 78th St,40.772239,-73.954052,4.5,$,Sushi Bars,310
IcEtg4yaHoe9To7Db1irBA,Made In New York Pizza,421 Amsterdam Ave,40.783841,-73.977569,4.0,$,Pizza,250
hKdvsbuQRtjajWYwjaoOQw,Tavern on the Green,67 Central Park W,40.772194,-73.9776,3.5,$$$,American (New),1466
PTYUAAJbEmvIv4EsyRrcnA,Momoya,427 Amsterdam Ave,40.784043,-73.977391,4.0,$$$,Sushi Bars,432
8nXo6lNJlXQQIdy8Kf7J9Q,Tessa,349 Amsterdam Ave,40.7814059,-73.97918,4.0,$$$,Mediterranean,379
ZikqL-flwV2XYlKtL2UfmA,Rangoli Exquisite Indian Cuisine,1393 A 2nd Ave,40.7693,-73.95823,4.5,$$,Indian,404
oowNI_aUmGEFa_VW8BFgRg,Tri Dim Shanghai,1378 3rd Ave,40.773951,-73.957927,4.0,$$,Shanghainese,393
UQGwXsOt9u0uZX0bY6j1kw,Kirsh Bakery & Kitchen,551 Amsterdam Ave,40.7879297,-73.9746239,4.0,$$,Bakeries,271
_2V0as8DZDwVxAi3ZJ0JkA,Raku - It's Japanese II,57 W 76th St,40.779997,-73.976516,4.0,$$,Japanese,314
V3ZvBwLvKBSohMT1j6C-gg,William Greenberg Desserts,1100 Madison Ave,40.77854,-73.96069,4.0,$$,Bakeries,237
oB2cpcZNyjDklNqZN0n8hg,Sushi Ishikawa,419 E 74th St,40.768783,-73.9538981,4.5,$$$$,Sushi Bars,213
VThwGCuC6JVaxAgnmuJDRg,Cilantro,485 Columbus Ave,40.784629,-73.973121,3.5,$$,Mexican,427
zVLG_O3AQnvQ53PSJ5mTMA,Om Restaurant,1593 2nd Ave,40.77583,-73.95364,4.0,$$,Indian,479
JBthOvTegHbrLDiVaCAy5Q,Bigoi Venezia,1415 2nd Ave,40.770036,-73.9577755,4.5,$$,Italian,237
74FFOreAgPphSwSZlfZzgw,Jones Wood Foundry,401 E 76th St,40.7703854340118,-73.9535711917713,4.0,$$,Gastropubs,635
Tt9Mkrgd5Zj_ZJEeU0L7Gg,Bocado Cafe,1293 Lexington Ave,40.7802514169278,-73.9549089244757,3.5,$$,American (New),458
1TLoaB7SXJZo3W5f4OGm8w,Ayurveda Cafe,706 Amsterdam Ave,40.79305,-73.97132,4.0,$$,Indian,315
KifkRh0gGD0voBw4FHFCVA,Chirping Chicken,355 Amsterdam Ave,40.78163,-73.9792,3.5,$$,American (Traditional),577
d5ya04K-2A_hI3Xzqe1HeA,Caffe Buon Gusto,236 E 77th St,40.77249,-73.95713,4.0,$$,Italian,484
Knbn0h4MA1KX5Fv3eZfK4w,Nice Matin,201 W 79th St,40.78337,-73.97847,3.5,$$,French,745
aqQw-FS1EWS5Fx3URh8iqQ,Spring Natural Kitchen,474 Columbus Ave,40.7844399,-73.97388,3.5,$$,American (New),482
ubjgMch7fGLJNW60M2xilg,Dive Bar,732 Amsterdam Ave,40.793975,-73.970809,4.0,$$,Dive Bars,461
9k8dYPFBuG9FGN9C5WAkxw,By The Way Bakery,1236 Lexington Ave,40.7779327,-73.9569132,4.5,$,Gluten-Free,131
E2zKMwHhz4--dyplQ7gf8A,Pappardella,316 Columbus Ave,40.7792833,-73.9776967,3.5,$$,Italian,582
CDa0GJZDMPcjvhbx7RbG5Q,Senn Thai Comfort Food,452 Amsterdam Ave,40.7849945637664,-73.9770103128512,4.0,$$,Thai,269
5XQgZQF-5N94bkQ2d_PJIQ,Pascalou,1308 Madison Ave,40.78521,-73.95595,4.0,$$,French,218
RP02PZPNdhfoL-TjOMiKVg,Table d'Hôte,44 E 92nd St,40.78447,-73.95581,4.0,$$,French,154
HpjArOwDD0ddcD2cvCDp6Q,Little Italy Pizza,2476 Broadway,40.7918751922647,-73.9735541478506,4.0,$,Pizza,279
oSpBTTBYy_sWDXiZF5CSdg,Pastrami Queen,1125 Lexington Ave,40.77437,-73.95911,3.5,$$,Delis,510
B87c3bE_u53yNYO1cmHSIw,Flor de Mayo,2651 Broadway,40.797859,-73.969948,4.0,$$,Chinese,571
8WSRmH4rsSRJN1jN0qmT_A,Café Frida,368 Columbus Ave,40.7808959,-73.9764829,3.5,$$,Mexican,667
fL-JDsQ2I_MT7SpwfyHRFg,The Meatball Shop,1462 2nd Ave,40.771569,-73.9559804,3.5,$$,American (Traditional),698
jPQWT232CbxOLU3yCpzdqw,Duke's,1596 2nd Ave,40.7756878,-73.9531291,4.0,$$,American (Traditional),466
0LKC_M1bumyOcgWgbH9OdQ,Crave Fishbar,428 Amsterdam Ave,40.78428,-73.97772,4.0,$$,Seafood,292
t_tWuzMEsoD9GDgAm_0l7g,Swagat,411 Amsterdam Ave,40.78353,-73.97782,3.5,$$,Indian,386
IJg3TdXz8IzKTfcspmr8MQ,Seasoned Vegan,55 Saint Nicholas Ave,40.800664,-73.952757,4.0,$$,Soul Food,1143
6NcU2JAznLr9dDHp6GgQyw,Doaba Deli,945 Columbus Ave,40.7994,-73.9624,4.5,$,Indian,226
MwtXOkRUndPU-ivbtLD-bQ,Amura Japanese,1567 2nd Ave,40.775001,-73.9542,4.0,$$,Japanese,315
hVqZ4vihjL1gFTD-KdX-Tw,Gennaro,665 Amsterdam Ave,40.79178,-73.9718,3.5,$$,Italian,385
tuP7STBjszTvKcQLeFMnkw,The Great Burrito,405 Amsterdam Ave,40.78333,-73.97796,4.0,$$,Mexican,279
Ey45ZiAN1TSVmvfM6DVZqA,Persepolis,1407 2nd Ave,40.76984,-73.958015,4.0,$$,Middle Eastern,454
Q6quwwLiwx_47SRd3tItvA,Schaller's Stube Sausage Bar,1652 2nd Ave,40.777544,-73.951607,4.0,$$,German,194
et9pAFtSvNOct9Qcmtcf7g,Mido Japanese,612 Amsterdam Ave,40.7900491,-73.9734598,4.0,$$,Japanese,208
0EIIFAq7YmPk3tgPzVx82g,5 Napkin Burger,2315 Broadway,40.787076092443,-73.977925,3.5,$$,Burgers,813
8nmMip_O4vcPDcujTEa_TA,Kobeyaki,215 E 86th St,40.77861,-73.9530599,4.0,$$,Sushi Bars,210
bOHWY14f1u8rR1t2ggmbYw,B Cafe East,240 E 75th St,40.7709199,-73.95759,4.0,$$,Bars,417
-X-jyF6Wblm3R3ExI-6EVg,Pasha Restaurant,70 W 71st St,40.7765809,-73.9790791,4.0,$$,Turkish,394
eGfpa9r0aGtN3V8ZwgaOEw,The Supply House,1647 2nd Ave,40.7775579,-73.9521892,4.0,$$,Bars,342
FzK3krlvA4fBHsuagggaIw,Hi-Life,477 Amsterdam Ave,40.785573252956,-73.9763537724069,3.5,$$,American (Traditional),321
La78lTOdzTrdFYTGXUp7og,Oaxaca Taqueria,424 Amsterdam Ave,40.7841453552246,-73.9778137207031,3.5,$,Mexican,388
UpnHg_984LLZ28-kBB5MSQ,Bella Luna,574 Columbus Ave,40.787762,-73.971458,3.5,$$,Italian,277
vOitNGIQx7vEDgRT1W0JCQ,Hutch & Waldo,247 E 81st St,40.77485,-73.95428,4.0,$$,Coffee & Tea,188
XxLGYdB0s8IkZ9QZtGKBZA,Burger Joint,119 W 56th St,40.7642604687359,-73.978533363932,3.5,$$,American (Traditional),2313
NlgC8TjNuf8sy6qg2xpqsQ,Yuka Japanese Restaurant,1557 2nd Ave,40.77463,-73.95447,3.5,$$,Sushi Bars,561
vJXswY5u9rcMRrYZukpMbQ,Mad River Bar & Grille,1442 3rd Ave,40.77614,-73.95616,4.0,$$,American (Traditional),333
WqmqQ8c9NivfIRn3sO2KiA,The Ribbon,20 W 72nd St,40.7765198,-73.9774628,3.5,$$,American (New),399
eq_jhDw9D38RAhyv09axTg,Effy's Cafe,104 W 96th St,40.792959,-73.968184,4.0,$$,Cafes,230
fp8X7ERa-0Ot_QD36I4ghw,Vino Levantino,210 W 94th St,40.7929478710728,-73.9720784291819,4.0,$$,Mediterranean,234
3P8hb1ZOCA8IjEGfqpSpxg,Sfoglia Restaurant,1402 Lexington Ave,40.783535,-73.952719,4.0,$$$,Italian,276
bxju4seaE8hE-HpLrBomgw,Eats,1055 Lexington Ave,40.7722,-73.96065,3.5,$$,American (Traditional),430
f_1BjTChf6bobreSRpqhsw,Arco Cafe,886 Amsterdam Ave,40.7988462,-73.967065,4.5,$$,Italian,262
-Fv6St_t9ScaH2088owNRQ,Kings' Carriage House,251 E 82nd St,40.7754843,-73.9537374,4.0,$$,American (New),208
4w4O7B0zMnEBzCha36lMPg,HARBS - Upper East Side,1374 3rd Ave,40.7738299,-73.9580299,4.0,$$,Desserts,262
ggZczl_F-L4FvZk3jpNR3Q,Five Mile Stone,1640 2nd Ave,40.7772804,-73.9519665,3.5,$$,American (New),429
WEDQ3ysOS2twleC7TZlmGw,The Halal Guys,720 Amsterdam Ave,40.7935457420759,-73.9709761352962,3.5,$,Halal,384
2dow8yoP1KJocKOiMuWOkg,BurgerFi,1571 2nd Ave,40.775087552127,-73.9540691080666,3.5,$$,American (New),423
zzVeJukpmXchLTQQhxzQjQ,Blondies Sports,212 W 79th St,40.78321,-73.97919,3.5,$$,Sports Bars,453
1_pK5aQ47atF50oAKHADhA,Indian Accent,123 W 56th St,40.7643344624229,-73.9787312885132,4.5,$$$$,Indian,571
H87m0azdhuw5uo6Y166uUg,Loi Estiatorio,132 W 58th St,40.765385,-73.978002,4.5,$$$,Greek,354
k1zrPPGGMQdlHopP3MnxrQ,Storico,170 Ctr Park W,40.779469,-73.973975,4.0,$$$,Italian,201
p2zm0HnXZkI2yCAuYLb45g,Thai Market,960 Amsterdam Ave,40.80132,-73.96529,4.0,$$,Thai,991
XL6EJm_QKNnxeGiSJXXbUg,Churutto Ramen & Poke,1534 3rd Ave,40.77916,-73.95396,4.0,$$,Ramen,137
oh7XgOSZWRr_T8TO6o9zMw,Noglu,1266 Madison Ave,40.78385,-73.95681,4.0,$$,Bakeries,108
0o0s6bUIuy0LTGNR3xYzzw,Dos Toros Taqueria,1111 Lexington Ave,40.7739509,-73.9594762,3.5,$,Mexican,379
ocnHpILS80DHL--34L8xpw,Sushi Noz,181 E 78th St,40.77385,-73.95813,4.5,$$$$,Sushi Bars,95
lP4ynyBoeFPywLg78XkMmw,Cibo E Vino,2418 Broadway,40.790206,-73.9749174,4.0,$$,Italian,320
xrKa2SpgWzPEEbji3Iw2DQ,The Calaveras,949 Columbus Ave,40.79956,-73.96241,4.5,$$,Bars,129
5QszELqJFqeFgpeujfknlQ,Filicori Zecchini,2541 Broadway,40.7942,-73.97248,4.0,$,Coffee & Tea,190
0X0cXXEyFa50ptzNpAZNyA,Otto's Tacos,1568 3rd Ave,40.7802999,-73.95312,4.0,$$,Tacos,180
ykTc4pZYEAY0Esd0yVFSOQ,Vin Sur Vingt,66 W 84th St,40.78492,-73.97291,4.5,$$,Wine Bars,60
lA6IvTF7J8fNC5puhyS3PA,Bellini Italian Restaurant,483 Columbus Ave,40.78457,-73.97317,3.5,$$,Italian,248
asW_ljefQQam9zjc9ZQaMw,Oslo Coffee Roasters,422 E 75th St,40.76914,-73.95372,4.0,$,Coffee & Tea,247
xGegODk2DyGam3n03Wk1fg,The Gin Mill,442 Amsterdam Ave,40.7847,-73.97741,3.5,$$,American (Traditional),394
