restaurant_id,restaurant_name,address,lat,long,rating,price,category,review_count
LvzN8TrUGJRj_UkJV0cAtQ,Empanada Mama - Hell's Kitchen,765 9th Ave,40.76441,-73.9885,4.0,$,Latin American,2421
A2DV-AQIXRYUMu5Ak5mjxg,Patzeria Family & Friends,311 W 48th St,40.7615,-73.98754,4.5,$$,Italian,1104
NN3mOWF5e_pnR1ArqM2bHQ,OBAO,647 9th Ave,40.7606544,-73.991332,4.0,$$,Vietnamese,2586
QObHX0yR6zd0WfksRDbJTA,Becco,355 W 46th St,40.76083,-73.98981,3.5,$$$,Italian,2861
OwV-MtDBC2H08rVcBqP2mA,Pio Pio 8,604 10th Ave,40.760506289326,-73.994564488901,4.0,$$,Latin American,2333
YtXl15Nv7TZvV3yIqbZc8A,Burger & Lobster,132 W 43rd St,40.75596,-73.98532,4.0,$$,Seafood,1014
KEEXuHCYhsQJ-zpJhu98bA,Joe's Pizza,1435 Broadway,40.7545841255557,-73.9870039190341,4.0,$,Pizza,1089
zOmgO8Di9Ui2bQHqSarUKg,John's of Times Square,260 W 44th St,40.75823,-73.98836,3.5,$$,Pizza,2167
-udRA8VRsQJoIaT-kxCrGg,Ipanema Restaurant,43 W 46th St,40.757072217349,-73.9807795529175,4.0,$$,Brazilian,1379
eRtceh_W_yniAfCqJni5Bg,Go! Go! Curry!,273 W 38th St,40.75463,-73.99115,4.0,$$,Japanese Curry,1450
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,334 W 46th St,40.76015,-73.9893699,4.0,$$,Dim Sum,1249
OFfZUS-nu6NDnsWe1B2bUQ,TONCHIN NEW YORK,13 W 36th St,40.7502727,-73.9844951,4.5,$$,Ramen,1172
VnjcxOUuZAeJMiDIU-7hUQ,Churrascaria Plataforma,316 W 49th St,40.76202,-73.98765,4.0,$$$$,Brazilian,1369
oLA02lMIfgvbYquvXzkARw,Lillie's Victorian Establishment,249 W 49th St,40.7614625,-73.9860519,4.0,$$,Bars,1454
6lUsFj0KCao678o9L7QwUw,Hatsuhana Sushi Restaurant,17 E 48th St,40.75703,-73.97692,4.0,$$$,Japanese,1338
4CObV3XU8VQ6nXeVS4vO0A,Margon,136 W 46th St,40.75787,-73.98398,4.0,$$,Cuban,735
VvsZAnEwU4c8Xkyrzx05Nw,Anytime,23 W 32nd St,40.74779,-73.98674,4.5,$$,Korean,1394
hk3ohp_A4L4UgWTexDxf_Q,Gallaghers Steakhouse,228 W 52nd St,40.762876,-73.983837,4.0,$$$,Steakhouses,1195
UtknyDJ_DPut-FKRqs0wpQ,Royal Grill Halal Food,44TH St And 6th Ave,40.75614,-73.98316,5.0,$,Halal,350
ONQRhDuWv0e9R5xOiI7YAA,Gyu-Kaku Japanese BBQ,321 W 44th St,40.75908,-73.98989,4.0,$$,Japanese,1231
wjIyCBEpCG_HRp8veiI0YQ,Ootoya Times Square,141 W 41st St,40.75487,-73.98599,4.0,$$,Japanese,935
Xjswj531-FkRZPpcccU6kQ,Vida Verde,248 W 55th St,40.7650089,-73.983215,4.5,$$,Cocktail Bars,1130
IOHaEgK1zDvUvB3SfKuGCw,Parker & Quinn,64 W 39th St,40.7525862175813,-73.9850713153442,4.0,$$,American (New),1355
4nohlTsGHEDdpwYkRTt-fA,Rudy's Bar & Grill,627 9th Ave,40.76004,-73.99182,4.0,$,Dive Bars,1097
FKzpfWUpyupl4q74Jt8fTA,Don Antonio,309 W 50th St,40.762711,-73.986708,4.0,$$,Pizza,1426
x2ATnp8-hXFhr_XznPYPMw,5 Napkin Burger,630 9th Ave,40.76018,-73.991093,3.5,$$,Burgers,2067
1DfbZ0VsSCg9g1KILmnvzQ,Per Se,10 Columbus Cir,40.7681528889558,-73.9827629623657,4.5,$$$$,French,1657
StpOKezaW-AyN2xA1EJKvw,Victor's Cafe,236 W 52nd St,40.7629499,-73.98403,4.0,$$$,Cuban,1478
VLGmFHE4s0Sfu0piMVQa1Q,Hold Fast Kitchen and Spirits,364 W 46th St,40.76064,-73.99023,5.0,$$,Cocktail Bars,323
vjubSxmdG_HoBBgd39geBw,Nino's 46,39 W 46th St,40.7569159,-73.980516,4.0,$$,Italian,1237
ISxL2HWJNCazHAdy5oblJA,Coney Shack,1500 Broadway,40.756776,-73.98566,4.5,$,Food Trucks,293
U0deo-JRQmHrru0uSf6QWA,Virgil's Real BBQ - New York,152 W 44th St,40.75685,-73.9851,3.5,$$,Barbeque,1601
JXcYD52B4190gIh6_RSXCg,Lilly's Craft and Kitchen,675 9th Ave,40.76138,-73.99071,4.0,$$,Bars,1000
n-hBKsnFFUpe-y00EZrOqg,Amy's Bread,672 9th Ave,40.76121,-73.99024,4.0,$,Bakeries,1118
SdESb_kSAV6b0WD813J4WQ,Red Poke,600 9th Ave,40.7588993,-73.991915,4.5,$$,Poke,541
3Gz07E5YJjDTJPSuzsAStQ,Ocean Prime,123 W 52nd St,40.76173,-73.98063,4.5,$$$,Seafood,574
dtnmxLqBnNAfdCN8fYVeLw,Room Service,690 9th Ave,40.76176,-73.9898,3.5,$$,Thai,1812
bEXTA_Gwo2oVg4gnFd9fNA,Ai Fiori,400 5th Ave,40.7500752,-73.9837835,4.0,$$$$,Italian,1262
sSSV7G16yUijp-Peq4fmsA,Benjamin Steakhouse,52 E 41st St,40.7518,-73.97896,4.0,$$$$,Steakhouses,1199
I6optu9x0JAf8oT5lqJ8qw,Blue Dog Cookhouse & Bar,308 W 50th St,40.76244,-73.98674,4.0,$$,Breakfast & Brunch,1232
pDwhlX9jNBGnjvyGR9jYWQ,Gabriel Kreuther,41 W 42nd St,40.754546,-73.982556,4.5,$$$$,Lounges,425
W0k5HHTa7IJsR51Nf7fOmA,Times Square Diner,807 8th Ave,40.7614036889404,-73.9869685269328,4.0,$$,American (Traditional),933
06tnwnEQM2j9A6dC3HC_TQ,Capizzi,547 9th Ave,40.75744,-73.99357,4.0,$$,Pizza,811
bJgl6cDIBIMlgrntQbxt1g,Tomiz,18 E 41st St,40.7523,-73.98043,4.0,$,Japanese,1187
BPyt7S9TdcR1u571iacg7g,The Kati Roll Company,49 W 39th St,40.75269,-73.98466,3.5,$,Indian,1531
Ucxhqn56VtC-eYjdNsg7Og,Vitae,4 E 46th St,40.7555884,-73.9785483,4.0,$$$,American (New),776
H_KyiRhwho8rdlw_R93_0Q,Marea,240 Central Park S,40.7674213694566,-73.9810554368179,4.0,$$$,Italian,2034
YC-wGlO0oOkEIaCEDZv-ag,Yakitori Totto,251 W 55th St,40.765375,-73.983114,4.0,$$$,Japanese,1308
UBCNhz-TSvBP3zo5PjFWrQ,Aureole,135 W 42nd St,40.7555870079476,-73.9852531626821,4.0,$$$,American (New),901
iAoHFfB_T8U31PhIzD-o_g,Mastro's Steakhouse,1285 Ave Of The Americas,40.761105,-73.980164,4.0,$$$$,Steakhouses,695
JL_p-OHtSEYVfoeLQQgqDA,Casellula,401 W 52nd St,40.76499,-73.98835,4.0,$$,Wine Bars,907
-olla_BldF5Y84I9ezRNdA,Hourglass Tavern,373 W 46th St,40.760952,-73.9903269,4.0,$$,American (Traditional),769
